study,rstudent,dffits,cook_d,hat,weight,is_infl
Stice 2008,1.025,0.141,0.02,0.015,1.49,
Bohr 2023,-0.332,-0.065,0.004,0.1,10.02,
Ip 2016,1.635,0.163,0.026,0.009,0.88,
Makarushka 2011,0.988,0.331,0.114,0.082,8.21,
O'Dea 2020,0.029,0.079,0.007,0.108,10.75,
Poppelaars 2016,1.285,0.13,0.017,0.009,0.86,
Ranney 2018,-0.335,-0.045,0.002,0.028,2.76,
Smith 2015,-1.217,-0.117,0.014,0.008,0.79,
Stasiak 2014,-1.539,-0.215,0.046,0.016,1.61,
Wright 2020,-0.336,-0.078,0.008,0.198,19.83,
Rohde 2015,-1.062,-0.275,0.074,0.056,5.61,
Ackerson 1998,-1.575,-0.383,0.142,0.046,4.61,
Stallard 2024,-0.288,-0.047,0.003,0.117,11.72,
Fleming 2012,-0.598,-0.06,0.004,0.01,1,
O'Dea 2025,2.914,1.476,0.651,0.199,19.87,*
