subgroup_variable,level,k,g,ci_lo,ci_hi,p_g,I2,tau2,Q_between,p_between
Control type,Passive,7,0.3517323184103273,-0.1277444374201312,0.8312090742407858,0.12280074679282045,0.789614433999851,0.06892413383848162,0.45696630910314007,0.49904519598144315
Control type,Minimal,7,0.2118272397622784,0.0488489714777621,0.3748055080467947,0.01906822890660044,0.10207013819765715,0.06892413383848162,0.45696630910314007,0.49904519598144315
Baseline severity,Low,9,0.2865954330100176,0.044199821854554705,0.5289910441654805,0.025986322088910482,0.5696451620571806,0.06662088439401849,0.021497377784570403,0.8834320920559057
Baseline severity,High,5,0.2516209143975544,-0.3428988393526363,0.8461406681477451,0.30513400520579953,0.7610193184957506,0.06662088439401849,0.021497377784570403,0.8834320920559057
Human contact,No,9,0.260669279072202,0.04337025167737196,0.47796830646703203,0.024437589477489755,0.5809871948691724,0.07156388013683776,0.03550234027134969,0.8505469154787059
Human contact,Yes,5,0.30995454315122667,-0.36751759627539576,0.987426682577849,0.2728491425400516,0.7433785564543935,0.07156388013683776,0.03550234027134969,0.8505469154787059
Relaxation,Present,5,0.365196796270879,-0.19905944036215117,0.9294530329039091,0.14675575575697763,0.6469553062228087,0.06463084797398742,0.3440548879315891,0.5574979628126081
Relaxation,Absent,9,0.2298135875256354,-0.022480782850661685,0.4821079579019325,0.06888105715985977,0.6462379983561488,0.06463084797398742,0.3440548879315891,0.5574979628126081
Problem-solving,Present,7,0.32859521582801843,-0.12010369761406275,0.7772941292700997,0.12332041711294224,0.7804997927247328,0.06558571373589099,0.25230134353441186,0.6154592721617628
Problem-solving,Absent,7,0.22595758094018828,0.005359010249483737,0.4465561516308928,0.04613002462473131,0.18234908709533496,0.06558571373589099,0.25230134353441186,0.6154592721617628
Homework,Present,9,0.3726844769763622,0.04534705993385907,0.7000218940188654,0.030391577525533602,0.6911484684411314,0.05948583694766621,1.9716557909942958,0.1602722187302744
Homework,Absent,5,0.13580912034566214,-0.11726598336621483,0.3888842240575391,0.21048746940725316,0.4938714682260196,0.05948583694766621,1.9716557909942958,0.1602722187302744
Relapse prevention,Present,6,0.3600892958645772,-0.02596222698379841,0.7461408187129528,0.06179562693288189,0.6701529499316784,0.06142302135203206,0.5255263351375066,0.46849377765399086
Relapse prevention,Absent,8,0.21628586317058565,-0.09016544927075451,0.5227371756119258,0.13906973681835863,0.645500657220973,0.06142302135203206,0.5255263351375066,0.46849377765399086
Interpersonal skills training,Present,7,0.2643278767179111,-0.07714389550939366,0.6057996489452158,0.10703957537027825,0.7298380447060528,0.06798209025723807,0.011544641156263545,0.9144351694730839
Interpersonal skills training,Absent,7,0.2861284110119135,-0.07426307525248366,0.6465198972763107,0.10006720293343103,0.5439354755556927,0.06798209025723807,0.011544641156263545,0.9144351694730839
